;Region;Sub-region;Country;ISO3 code;M49 code;RE or Non-RE;Group Technology;Technology;Sub-Technology;Producer Type;Year;Electricity Generation (GWh);Electricity Installed Capacity (MW)
25320;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2020;34;24
25321;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;33;24
25322;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;33;24
29428;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2000;7;14
29429;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2001;8;15
29430;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2002;8;16
29431;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2003;8;16
29432;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2004;9;16
29433;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2005;9;16
29434;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2006;10;16
29435;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2007;9;19
